2024-10-17 at 14:16 | INFO | Поиск одной записи Student по фильтрам: {'id': 577910537}
2024-10-17 at 14:16 | INFO | Запись не найдена по фильтрам: {'id': 577910537}
2024-10-17 at 14:16 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 577910537}
2024-10-17 at 14:16 | INFO | Запись найдена по фильтрам: {'id': 577910537}
2024-10-17 at 14:37 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 14:37 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:16 | INFO | Бот успешно запущен.
2024-11-22 at 19:26 | INFO | Бот остановлен.
2024-11-22 at 19:29 | INFO | Бот остановлен
2024-11-22 at 19:31 | INFO | Бот успешно запущен.
2024-11-22 at 19:31 | INFO | Бот остановлен
2024-11-22 at 19:32 | INFO | Бот успешно запущен.
2024-11-22 at 19:32 | INFO | Бот успешно запущен.
2024-11-22 at 19:32 | INFO | Бот остановлен
2024-11-22 at 19:33 | INFO | Бот успешно запущен.
2024-11-22 at 19:33 | INFO | Бот успешно запущен.
2024-11-22 at 19:33 | INFO | Бот остановлен
2024-11-22 at 19:33 | INFO | Бот успешно запущен.
2024-11-22 at 19:33 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:34 | INFO | Бот успешно запущен.
2024-11-22 at 19:34 | INFO | Бот остановлен
2024-11-22 at 19:36 | INFO | Бот успешно запущен.
2024-11-22 at 19:36 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:36 | INFO | Бот остановлен
2024-11-22 at 19:36 | INFO | Бот успешно запущен.
2024-11-22 at 19:36 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:39 | INFO | Бот успешно запущен.
2024-11-22 at 19:39 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:40 | INFO | Бот остановлен
2024-11-22 at 19:40 | INFO | Бот успешно запущен.
2024-11-22 at 19:40 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:40 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 805550691}: Mapper 'Mapper[Student(students)]' has no property 'users'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-11-22 at 19:40 | INFO | Бот остановлен
2024-11-22 at 19:40 | INFO | Бот успешно запущен.
2024-11-22 at 19:40 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:40 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:58 | INFO | Бот остановлен
2024-11-22 at 19:58 | INFO | Бот успешно запущен.
2024-11-22 at 19:58 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 19:58 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-11-22 at 22:59 | INFO | Бот успешно запущен.
2024-11-22 at 23:00 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:00 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 805550691}: Mapper 'Mapper[User(users)]' has no property 'posts'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-11-22 at 23:01 | INFO | Бот остановлен
2024-11-22 at 23:01 | INFO | Бот успешно запущен.
